basin,Box,proportion
San Juan Archipelago,0,0.09043032229455146
Strait of Georgia,0,0.9095696777054486
San Juan Archipelago,1,0.08402725295332032
Strait of Georgia,1,0.9159727470466796
Strait of Georgia,2,1
Strait of Georgia,3,1
San Juan Archipelago,4,1
East Strait of Juan de Fuca,5,0.09570290250756013
San Juan Archipelago,5,0.9042970974924398
San Juan Archipelago,6,0.9902401348294866
Strait of Georgia,6,0.009759865170513367
San Juan Archipelago,7,0.9923196014297793
Strait of Georgia,7,0.0076803985702206595
San Juan Archipelago,8,0.06347416196774808
Strait of Georgia,8,0.936525838032252
Strait of Georgia,9,1
Strait of Georgia,10,1
Strait of Georgia,11,1
San Juan Archipelago,12,0.9453078927829778
Whidbey Basin,12,2.7039522163708007e-5
Strait of Georgia,12,0.05466506769485856
San Juan Archipelago,13,1
San Juan Archipelago,14,1
San Juan Archipelago,15,1
East Strait of Juan de Fuca,16,0.29272222637483947
San Juan Archipelago,16,0.7072777736251604
East Strait of Juan de Fuca,17,0.8326626572474731
San Juan Archipelago,17,4.8754569931500744e-5
West Strait of Juan de Fuca,17,0.16728858818259534
East Strait of Juan de Fuca,18,0.8343548390469737
San Juan Archipelago,18,0.06329446275464708
West Strait of Juan de Fuca,18,0.10235069819837926
East Strait of Juan de Fuca,19,1
Admiralty Inlet,20,0.0013471673620946579
East Strait of Juan de Fuca,20,0.9611272525246976
San Juan Archipelago,20,0.03752558011320771
Admiralty Inlet,21,0.21541929912629226
East Strait of Juan de Fuca,21,0.7495177547100066
San Juan Archipelago,21,0.03506294616370125
Whidbey Basin,22,1
San Juan Archipelago,23,3.8729870495839445e-6
Whidbey Basin,23,0.9999961270129505
Whidbey Basin,24,1
Whidbey Basin,25,1
Whidbey Basin,26,1
Whidbey Basin,27,1
Whidbey Basin,28,1
Admiralty Inlet,29,0.9898999431968875
Central Puget Sound,29,0.0036133634286481774
East Strait of Juan de Fuca,29,0.00648669337446441
Admiralty Inlet,30,1
Admiralty Inlet,31,0.001985297579390258
Central Puget Sound,31,0.9980147024206097
Admiralty Inlet,32,0.005831711940882483
Central Puget Sound,32,0.993398793229113
Whidbey Basin,32,7.694948300046076e-4
Admiralty Inlet,33,0.0011051577902232298
Central Puget Sound,33,0.9984224230051357
Whidbey Basin,33,4.7241920464098397e-4
Central Puget Sound,34,0.9980522979993789
Whidbey Basin,34,0.0019477020006210414
Admiralty Inlet,35,1
Admiralty Inlet,36,0.0013546106969638152
Hood Canal,36,0.9986453893030363
Hood Canal,37,1
Hood Canal,38,1
Hood Canal,39,1
Hood Canal,40,1
Central Puget Sound,41,1
Central Puget Sound,42,1
Central Puget Sound,43,1
Central Puget Sound,44,1
Central Puget Sound,45,1
Central Puget Sound,46,1
Central Puget Sound,47,1
Central Puget Sound,48,1
Central Puget Sound,49,1
Central Puget Sound,50,1
Central Puget Sound,51,1
Central Puget Sound,52,1
Central Puget Sound,53,1
Central Puget Sound,54,0.6576698287957
South Puget Sound,54,0.3423301712043
South Puget Sound,55,1
South Puget Sound,56,1
South Puget Sound,57,1
South Puget Sound,58,1
South Puget Sound,59,1
San Juan Archipelago,60,0.11318073062914297
Strait of Georgia,60,0.886819269370857
San Juan Archipelago,61,0.7744612506806109
Strait of Georgia,61,0.22553874931938914
San Juan Archipelago,62,0.4486595592822559
Strait of Georgia,62,0.5513404407177441
San Juan Archipelago,63,1
San Juan Archipelago,64,1
San Juan Archipelago,65,1
San Juan Archipelago,66,0.8809919747938493
Strait of Georgia,66,0.11900802520615086
San Juan Archipelago,67,0.11606380082164881
Strait of Georgia,67,0.8839361991783513
Strait of Georgia,68,1
San Juan Archipelago,69,0.8093614594466451
Strait of Georgia,69,0.19063854055335494
San Juan Archipelago,70,1
San Juan Archipelago,71,1
San Juan Archipelago,72,1
San Juan Archipelago,73,1
San Juan Archipelago,74,1
San Juan Archipelago,75,1
San Juan Archipelago,76,1
San Juan Archipelago,77,0.041423446737474785
Strait of Georgia,77,0.9585765532625252
Strait of Georgia,78,1
Admiralty Inlet,79,0.31620724241446113
Central Puget Sound,79,0.07171381100798527
East Strait of Juan de Fuca,79,0.03381039238413387
San Juan Archipelago,79,0.023001647837790205
Whidbey Basin,79,0.5552669063556295
Whidbey Basin,80,1
Central Puget Sound,81,1
Central Puget Sound,82,1
Central Puget Sound,83,1
South Puget Sound,84,1
South Puget Sound,85,1
South Puget Sound,86,1
South Puget Sound,87,1
South Puget Sound,88,1
